"filename", "language", "Java", "comment", "blank", "total"
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest.java", "Java", -6, 0, -3, -9
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest0.java", "Java", -10639, -322, -504, -11465
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest1.java", "Java", -12181, -312, -504, -12997
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest10.java", "Java", -13131, -114, -504, -13749
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest11.java", "Java", -13174, -104, -504, -13782
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest12.java", "Java", -13639, -98, -504, -14241
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest13.java", "Java", -13099, -96, -504, -13699
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest14.java", "Java", -13183, -100, -504, -13787
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest15.java", "Java", -13487, -112, -504, -14103
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest16.java", "Java", -13479, -74, -504, -14057
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest17.java", "Java", -13494, -94, -504, -14092
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest18.java", "Java", -7117, -56, -275, -7448
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest2.java", "Java", -12491, -258, -504, -13253
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest3.java", "Java", -12568, -238, -504, -13310
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest4.java", "Java", -13070, -208, -504, -13782
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest5.java", "Java", -12547, -146, -504, -13197
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest6.java", "Java", -12943, -170, -504, -13617
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest7.java", "Java", -12834, -150, -504, -13488
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest8.java", "Java", -13009, -128, -504, -13641
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/02/RegressionTest9.java", "Java", -13219, -128, -504, -13851
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest.java", "Java", 6, 0, 3, 9
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest0.java", "Java", 10501, 388, 504, 11393
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest1.java", "Java", 11679, 362, 504, 12545
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest10.java", "Java", 12703, 122, 504, 13329
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest11.java", "Java", 12824, 122, 504, 13450
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest12.java", "Java", 12716, 120, 504, 13340
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest13.java", "Java", 12766, 100, 504, 13370
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest14.java", "Java", 13000, 102, 504, 13606
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest15.java", "Java", 12959, 106, 504, 13569
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest16.java", "Java", 12979, 94, 504, 13577
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest17.java", "Java", 12680, 82, 504, 13266
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest18.java", "Java", 12117, 82, 472, 12671
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest2.java", "Java", 12034, 292, 504, 12830
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest3.java", "Java", 12039, 194, 504, 12737
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest4.java", "Java", 12257, 210, 504, 12971
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest5.java", "Java", 12449, 166, 504, 13119
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest6.java", "Java", 12349, 178, 504, 13031
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest7.java", "Java", 12655, 188, 504, 13347
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest8.java", "Java", 12689, 166, 504, 13359
"/home/oscar/eclipse-workspace/Resultados/Randoop/Biblioteca/03/RegressionTest9.java", "Java", 12740, 142, 504, 13386
"Total", "-", -3168, 308, 197, -2663
